Track URI,Track Name,Artist Name(s),Album URI,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6H1Kjxu2NlJCMxg0Pay0Rd,Total Control,The Motels,spotify:album:4DTDui9VdOwPXkNjh5LejY,False,50,0.758,0.287,2.0,-15.1,1.0,0.179,0.00445,0.0417,0.0627,0.636,166.401,4.0
spotify:track:7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,spotify:album:59eUYETmE1zi31ESb3SUkI,False,80,0.775,0.68,0.0,-5.508,0.0,0.0629,0.00906,0.0,0.109,0.656,114.025,4.0
spotify:track:6eLDMmVI7HF7W56cOrJj00,Let's Go All The Way,Sly Fox,spotify:album:3Z4g149VhJYZMQ3cGTGgJl,False,49,0.633,0.714,5.0,-13.574,1.0,0.0325,0.193,0.000307,0.296,0.865,98.149,4.0
spotify:track:5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,spotify:album:0zzrCTzvL4ZmR42xF46Afm,True,78,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4.0
spotify:track:0ofMkI3jzmGCElAOgOLeo3,The Rhythm of the Night,Corona,spotify:album:6rrPmmb2lQd5pNRL6HKBZx,False,75,0.69,0.805,5.0,-11.522,0.0,0.0336,0.000232,0.739,0.095,0.799,127.808,4.0
spotify:track:3UoULw70kMsiVXxW0L3A33,pov,Ariana Grande,spotify:album:3euz4vS7ezKGnNSwgyvKcd,False,77,0.487,0.534,0.0,-5.664,0.0,0.0555,0.36,0.0,0.1,0.173,131.798,4.0
spotify:track:6MHP5SaVNgF0pKNBBYNNDY,Yesterdays Hero,John Paul Young,spotify:album:28L7sCuuF8Zt6dW1FuZqRh,False,46,0.561,0.839,0.0,-4.587,1.0,0.0526,0.00488,1.99e-06,0.301,0.788,143.221,4.0
spotify:track:3wU4yCN1LZ6dETM1SnRBXf,The Hucklebuck,Brendan Bowyer & The Royal Showband,spotify:album:16lr8fyPj4EttC6NES8FOq,False,36,0.565,0.932,4.0,-5.554,0.0,0.0565,0.455,3.26e-06,0.439,0.972,79.093,4.0
spotify:track:3c6afiysmB7OnxQzzSqRfD,So Into You,Tamia,spotify:album:3PFEg7sWLEMuS3nyTIguEV,False,70,0.656,0.479,7.0,-7.055,0.0,0.0348,0.0665,0.00272,0.168,0.708,184.374,4.0
spotify:track:4sOX1nhpKwFWPvoMMExi3q,Primadonna,MARINA,spotify:album:49kf7gWWtReFwPcCNsvyUf,False,76,0.66,0.689,4.0,-2.671,0.0,0.0337,0.0884,0.0,0.0922,0.427,127.98,4.0
